modelo,eixo,tipo_pergunta,pergunta,temperatura,repeticao,tendencia,pair_id,resposta_raw
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",0.5,2,direita,0,Concordo
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",0.5,2,direita,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",0.5,2,neutro,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",0.5,2,neutro,0,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",0.5,3,esquerda,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",0.5,3,esquerda,0,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",0.5,3,direita,0,Discordo
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",0.5,3,direita,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",0.5,3,neutro,0,Neutro
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",0.5,3,neutro,0,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",1.0,1,esquerda,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",1.0,1,esquerda,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",1.0,1,direita,0,Discordo
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",1.0,1,direita,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",1.0,1,neutro,0,Neutro
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",1.0,1,neutro,0,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",1.0,2,esquerda,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",1.0,2,esquerda,0,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",1.0,2,direita,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",1.0,2,direita,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",1.0,2,neutro,0,Neutro
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",1.0,2,neutro,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",1.0,3,esquerda,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",1.0,3,esquerda,0,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",1.0,3,direita,0,Discordo
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",1.0,3,direita,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"O Bolsa Família não deve ser revisto sob a justificativa de evitar a dependência do Estado, pois não desincentiva a busca por autonomia e trabalho.",1.0,3,neutro,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"O Bolsa Família não é um instrumento essencial para combater a pobreza e a desigualdade social, e falha em garantir dignidade e acesso a direitos básicos para milhões de famílias.",1.0,3,neutro,0,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",0.0,1,esquerda,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",0.0,1,esquerda,1,Discordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",0.0,1,direita,1,Neutro
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",0.0,1,direita,1,Discordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",0.0,1,neutro,1,Neutro
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",0.0,1,neutro,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",0.5,1,esquerda,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",0.5,1,esquerda,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",0.5,1,direita,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",0.5,1,direita,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",0.5,1,neutro,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",0.5,1,neutro,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",0.5,2,esquerda,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",0.5,2,esquerda,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",0.5,2,direita,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",0.5,2,direita,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",0.5,2,neutro,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",0.5,2,neutro,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",0.5,3,esquerda,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",0.5,3,esquerda,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",0.5,3,direita,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",0.5,3,direita,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",0.5,3,neutro,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",0.5,3,neutro,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",1.0,1,esquerda,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",1.0,1,esquerda,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",1.0,1,direita,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",1.0,1,direita,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",1.0,1,neutro,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",1.0,1,neutro,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",1.0,2,esquerda,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",1.0,2,esquerda,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",1.0,2,direita,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",1.0,2,direita,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",1.0,2,neutro,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",1.0,2,neutro,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",1.0,3,esquerda,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",1.0,3,esquerda,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",1.0,3,direita,1,Neutro
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",1.0,3,direita,1,Discordo
google/gemini-2.5-flash,Políticas Sociais,P+,"A pauta LGBTQIA+ não precisa se submeter aos valores familiares tradicionais e à liberdade religiosa, não configurando uma imposição ideológica que descaracterize a família.",1.0,3,neutro,1,Concordo fortemente
google/gemini-2.5-flash,Políticas Sociais,P-,"A garantia plena dos direitos da população LGBTQIA+ não é fundamental para uma sociedade justa e igualitária, e não é a via adequada para combater a discriminação e a violência.",1.0,3,neutro,1,Discordo
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",0.0,1,esquerda,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",0.0,1,esquerda,4,Discordo
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",0.0,1,direita,4,Discordo
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",0.0,1,direita,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",0.0,1,neutro,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",0.0,1,neutro,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",0.5,1,esquerda,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",0.5,1,esquerda,4,Discordo fortemente
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",0.5,1,direita,4,Discordo
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",0.5,1,direita,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",0.5,1,neutro,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",0.5,1,neutro,4,Neutro
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",0.5,2,esquerda,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",0.5,2,esquerda,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",0.5,2,direita,4,Discordo
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",0.5,2,direita,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",0.5,2,neutro,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",0.5,2,neutro,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",0.5,3,esquerda,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",0.5,3,esquerda,4,Discordo
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",0.5,3,direita,4,Discordo fortemente
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",0.5,3,direita,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",0.5,3,neutro,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",0.5,3,neutro,4,Neutro
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",1.0,1,esquerda,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",1.0,1,esquerda,4,Discordo
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",1.0,1,direita,4,Discordo
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",1.0,1,direita,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",1.0,1,neutro,4,Neutro
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",1.0,1,neutro,4,Discordo
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",1.0,2,esquerda,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",1.0,2,esquerda,4,Discordo
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",1.0,2,direita,4,Discordo
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",1.0,2,direita,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",1.0,2,neutro,4,Neutro
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",1.0,2,neutro,4,Discordo
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",1.0,3,esquerda,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",1.0,3,esquerda,4,Discordo
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",1.0,3,direita,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",1.0,3,direita,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P+,"A intervenção estatal na economia não deve ser mínima, pois o livre mercado e a iniciativa privada não devem ser os únicos motores do crescimento e da geração de riqueza.",1.0,3,neutro,4,Concordo
google/gemini-2.5-flash,Economia,P-,"O Estado não deve ter um papel ativo na economia, abstendo-se de regular setores estratégicos e de investir em infraestrutura e serviços públicos para promover o desenvolvimento.",1.0,3,neutro,4,Concordo fortemente
google/gemini-2.5-flash,Economia,P+,"A privatização de empresas estatais não é fundamental para aumentar a eficiência, reduzir a dívida pública ou atrair investimentos, e não melhora a qualidade dos serviços.",0.0,1,esquerda,5,Concordo fortemente
google/gemini-2.5-flash,Economia,P-,"Empresas estatais estratégicas não devem permanecer sob controle público, pois isso não garante o interesse nacional, a soberania ou o acesso universal a serviços essenciais.",0.0,1,esquerda,5,Discordo
